species,genus,family,species:wikidata,leaf_cycle,leaf_type
Plumeria pudica,Plumeria,Apocynaceae,,evergreen,broadleaved
Plumeria rubra,Plumeria,Apocynaceae,,deciduous,broadleaved
Podocarpus macrophyllus,Podocarpus,Podocarpaceae,,evergreen,needleleaved
Podocarpus nubigenus,Podocarpus,Podocarpaceae,Q823016,evergreen,needleleaved
Podocarpus salignus,Podocarpus,Podocarpaceae,,evergreen,needleleaved
Podocarpus totara,Podocarpus,Podocarpaceae,,deciduous,needleleaved
Poliothyrsis sinensis,Poliothyrsis,Salicaceae,,deciduous,broadleaved
Polyalthia longifolia,Polyalthia,Annonaceae,,evergreen,broadleaved
Poncirus trifoliata,Poncirus,Rutaceae,,deciduous,broadleaved
Pongamia pinnata,Pongamia,Fabaceae,,evergreen,broadleaved
Populus alba,Populus,Salicaceae,Q146269,deciduous,broadleaved
Populus angustifolia,Populus,Salicaceae,Q149471,deciduous,broadleaved
Populus balsamifera,Populus,Salicaceae,Q149471,deciduous,broadleaved
Populus berolinensis,Populus,Salicaceae,Q4460779,deciduous,broadleaved
Populus bolleana,Populus,Salicaceae,Q146269,deciduous,broadleaved
Populus canadensis,Populus,Salicaceae,Q149319,deciduous,broadleaved
Populus canescens,Populus,Salicaceae,Q149553,deciduous,broadleaved
Populus deltoides,Populus,Salicaceae,Q149319,deciduous,broadleaved
Populus euramericana,Populus,Salicaceae,Q149622,deciduous,broadleaved
Populus fremontii,Populus,Salicaceae,,deciduous,broadleaved
Populus grandidentata,Populus,Salicaceae,,deciduous,broadleaved
Populus hybrida,Populus,Salicaceae,Q146269,deciduous,broadleaved
Populus italica,Populus,Salicaceae,Q147064,deciduous,broadleaved
Populus jackii,Populus,Salicaceae,,deciduous,broadleaved
Populus lasiocarpa,Populus,Salicaceae,,deciduous,broadleaved
Populus maximowiczii,Populus,Salicaceae,,deciduous,broadleaved
Populus nigra,Populus,Salicaceae,Q147064,deciduous,broadleaved
Populus pyramidalis,Populus,Salicaceae,Q147064,deciduous,broadleaved
Populus serotina,Populus,Salicaceae,Q149622,deciduous,broadleaved
Populus sibirica,Populus,Salicaceae,Q469576,deciduous,broadleaved
Populus simonii,Populus,Salicaceae,Q182756,deciduous,broadleaved
Populus suaveolens,Populus,Salicaceae,,deciduous,broadleaved
Populus tomentosa,Populus,Salicaceae,,deciduous,broadleaved
Populus tremula,Populus,Salicaceae,Q146110,deciduous,broadleaved
Populus tremuloides,Populus,Salicaceae,Q469576,deciduous,broadleaved
Populus trichocarpa,Populus,Salicaceae,,deciduous,broadleaved
Populus tristis,Populus,Salicaceae,,deciduous,broadleaved
Populus yunnanensis,Populus,Salicaceae,,deciduous,broadleaved
Populus × berolinensis,Populus,Salicaceae,Q4460779,deciduous,broadleaved
Populus × canadensis,Populus,Salicaceae,Q149622,deciduous,broadleaved
Populus × canescens,Populus,Salicaceae,Q149553,deciduous,broadleaved
Populus × euramericana,Populus,Salicaceae,Q149622,deciduous,broadleaved
Populus × ontariensis,Populus,Salicaceae,,deciduous,broadleaved
Populus × sibirica,Populus,Salicaceae,,deciduous,broadleaved
Populus × tomentosa,Populus,Salicaceae,,deciduous,broadleaved
Populus × viadri,Populus,Salicaceae,,deciduous,broadleaved
Pourthiaea villosa,Pourthiaea,Rosaceae,,deciduous,broadleaved
Pritchardia pacifica,Pritchardia,Arecaceae,,evergreen,palm
Prosopis caldenia,Prosopis,Fabaceae,,evergreen,broadleaved
Prosopis chilensis,Prosopis,Fabaceae,,evergreen,broadleaved
Prosopis cineraria,Prosopis,Fabaceae,,evergreen,broadleaved
Prosopis juliflora,Prosopis,Fabaceae,,evergreen,broadleaved
Prumnopitys andina,Prumnopitys,Podocarpaceae,,evergreen,needleleaved
Prunus americana,Prunus,Rosaceae,,deciduous,broadleaved
Prunus amygdalus,Prunus,Rosaceae,Q15545507,deciduous,broadleaved
Prunus armeniaca,Prunus,Rosaceae,Q37453,deciduous,broadleaved
Prunus avium,Prunus,Rosaceae,Q165137,deciduous,broadleaved
Prunus blireana,Prunus,Rosaceae,,deciduous,broadleaved
Prunus brigantina,Prunus,Rosaceae,Q3408630,deciduous,broadleaved
Prunus campanulata,Prunus,Rosaceae,,deciduous,broadleaved
Prunus cerasifera,Prunus,Rosaceae,Q146951,deciduous,broadleaved
Prunus cerasus,Prunus,Rosaceae,Q131517,deciduous,broadleaved
Prunus cyclamina,Prunus,Rosaceae,,deciduous,broadleaved
Prunus domestica,Prunus,Rosaceae,Q10878191,deciduous,broadleaved
Prunus dulcis,Prunus,Rosaceae,Q15545507,deciduous,broadleaved
Prunus effusa,Prunus,Rosaceae,,deciduous,broadleaved
Prunus eminens,Prunus,Rosaceae,,deciduous,broadleaved
Prunus fruticosa,Prunus,Rosaceae,,deciduous,broadleaved
Prunus gondouinii,Prunus,Rosaceae,,deciduous,broadleaved
Prunus hillieri,Prunus,Rosaceae,,deciduous,broadleaved
Prunus ilicifolia,Prunus,Rosaceae,,evergreen,broadleaved
Prunus incana,Prunus,Rosaceae,Q17235052,deciduous,broadleaved
Prunus incisa,Prunus,Rosaceae,Q3269605,deciduous,broadleaved
Prunus insititia,Prunus,Rosaceae,,deciduous,broadleaved
Prunus itosakura,Prunus,Rosaceae,,deciduous,broadleaved
Prunus jamasakura,Prunus,Rosaceae,,deciduous,broadleaved
Prunus japonica,Prunus,Rosaceae,Q1771825,deciduous,broadleaved
Prunus lannesiana,Prunus,Rosaceae,,deciduous,broadleaved
Prunus laurocerasus,Prunus,Rosaceae,Q157508,evergreen,broadleaved
Prunus lusitanica,Prunus,Rosaceae,Q1969110,evergreen,broadleaved
Prunus maackii,Prunus,Rosaceae,Q149392,deciduous,broadleaved
Prunus mahaleb,Prunus,Rosaceae,Q161920,deciduous,broadleaved
Prunus mume,Prunus,Rosaceae,,deciduous,broadleaved
Prunus nipponica,Prunus,Rosaceae,,deciduous,broadleaved
Prunus padus,Prunus,Rosaceae,Q165424,deciduous,broadleaved
Prunus pendula,Prunus,Rosaceae,Q131517,deciduous,broadleaved
Prunus pensylvanica,Prunus,Rosaceae,,deciduous,broadleaved
Prunus persica,Prunus,Rosaceae,Q13189,deciduous,broadleaved
Prunus salicina,Prunus,Rosaceae,,deciduous,broadleaved
Prunus sargentii,Prunus,Rosaceae,Q163039,deciduous,broadleaved
Prunus schmittii,Prunus,Rosaceae,,deciduous,broadleaved
Prunus serotina,Prunus,Rosaceae,Q158987,deciduous,broadleaved
Prunus serrula,Prunus,Rosaceae,Q164371,deciduous,broadleaved
Prunus serrulata,Prunus,Rosaceae,Q165321,deciduous,broadleaved
Prunus speciosa,Prunus,Rosaceae,,deciduous,broadleaved
Prunus spinosa,Prunus,Rosaceae,Q129018,deciduous,broadleaved
Prunus subhirtella,Prunus,Rosaceae,Q163070,deciduous,broadleaved
Prunus syriaca,Prunus,Rosaceae,,deciduous,broadleaved
Prunus tomentosa,Prunus,Rosaceae,,deciduous,broadleaved
Prunus triloba,Prunus,Rosaceae,,deciduous,broadleaved
Prunus umbellata,Prunus,Rosaceae,Q17235187,deciduous,broadleaved
Prunus virginiana,Prunus,Rosaceae,Q162829,deciduous,broadleaved
Prunus yedoensis,Prunus,Rosaceae,Q163078,deciduous,broadleaved
Prunus × blireana,Prunus,Rosaceae,,deciduous,broadleaved
Prunus × eminens,Prunus,Rosaceae,,deciduous,broadleaved
Prunus × fruticans,Prunus,Rosaceae,Q3408658,deciduous,broadleaved
Prunus × gondouinii,Prunus,Rosaceae,,deciduous,broadleaved
Prunus × hillieri,Prunus,Rosaceae,,deciduous,broadleaved
Prunus × lannesiana,Prunus,Rosaceae,,deciduous,broadleaved
Prunus × schmittii,Prunus,Rosaceae,,deciduous,broadleaved
Prunus × subhirtella,Prunus,Rosaceae,Q163070,deciduous,broadleaved
Prunus × syriaca,Prunus,Rosaceae,,deciduous,broadleaved
Prunus × yedoensis,Prunus,Rosaceae,Q163078,deciduous,broadleaved
Pseudobombax septenatum,Pseudobombax,Malvaceae,,evergreen,broadleaved
Pseudocydonia sinensis,Pseudocydonia,Rosaceae,,deciduous,broadleaved
Pseudolarix amabilis,Pseudolarix,Pinaceae,Q1458175,deciduous,needleleaved
Pseudotsuga menziesii,Pseudotsuga,Pinaceae,Q156687,evergreen,needleleaved
Psidium guajava,Psidium,Myrtaceae,,evergreen,broadleaved
Ptelea trifoliata,Ptelea,Rutaceae,,deciduous,broadleaved
Pterocarpus indicus,Pterocarpus,Fabaceae,,deciduous,broadleaved
Pterocarya caucasica,Pterocarya,Juglandaceae,Q121749,deciduous,broadleaved
Pterocarya fraxinifolia,Pterocarya,Juglandaceae,Q121749,deciduous,broadleaved
Pterocarya rhoifolia,Pterocarya,Juglandaceae,,deciduous,broadleaved
Pterocarya stenoptera,Pterocarya,Juglandaceae,,deciduous,broadleaved
Pteroceltis tatarinowii,Pteroceltis,Cannabaceae,,deciduous,broadleaved
Punica granatum,Punica,Lythraceae,,deciduous,broadleaved
Puya raimondii,Puya,Bromeliaceae,,evergreen,broadleaved
Pyracantha coccinea,Pyracantha,Rosaceae,,evergreen,broadleaved
Pyrus amygdaliformis,Pyrus,Rosaceae,,deciduous,broadleaved
Pyrus calleryana,Pyrus,Rosaceae,Q3079266,deciduous,broadleaved
Pyrus caucasica,Pyrus,Rosaceae,Q146281,deciduous,broadleaved
Pyrus communis,Pyrus,Rosaceae,Q146281,deciduous,broadleaved
Pyrus cordata,Pyrus,Rosaceae,Q7263791,deciduous,broadleaved
Pyrus domestica,Pyrus,Rosaceae,Q18593737,deciduous,broadleaved
Pyrus kawakamii,Pyrus,Rosaceae,Q3079266,deciduous,broadleaved
Pyrus malus,Pyrus,Rosaceae,Q18674606,deciduous,broadleaved
Pyrus nivalis,Pyrus,Rosaceae,,deciduous,broadleaved
Pyrus pyraster,Pyrus,Rosaceae,Q146281,deciduous,broadleaved
Pyrus pyrifolia,Pyrus,Rosaceae,,deciduous,broadleaved
Pyrus regelii,Pyrus,Rosaceae,,deciduous,broadleaved
Pyrus salicifolia,Pyrus,Rosaceae,,deciduous,broadleaved
Pyrus spinosa,Pyrus,Rosaceae,,deciduous,broadleaved
Pyrus ussuriensis,Pyrus,Rosaceae,,deciduous,broadleaved
Quercus acuta,Quercus,Fagaceae,Q1075957,evergreen,broadleaved
Quercus acutissima,Quercus,Fagaceae,,deciduous,broadleaved
Quercus agrifolia,Quercus,Fagaceae,,evergreen,broadleaved
Quercus alba,Quercus,Fagaceae,Q469555,deciduous,broadleaved
Quercus aliena,Quercus,Fagaceae,,deciduous,broadleaved
Quercus bicolor,Quercus,Fagaceae,Q142792,deciduous,broadleaved
Quercus calliprinos,Quercus,Fagaceae,,evergreen,broadleaved
Quercus canariensis,Quercus,Fagaceae,,deciduous,broadleaved
Quercus castaneifolia,Quercus,Fagaceae,,deciduous,broadleaved
Quercus cerrioides,Quercus,Fagaceae,,deciduous,broadleaved
Quercus cerris,Quercus,Fagaceae,Q157277,deciduous,broadleaved
Quercus coccifera,Quercus,Fagaceae,,evergreen,broadleaved
Quercus coccinea,Quercus,Fagaceae,Q854714,deciduous,broadleaved
Quercus congesta,Quercus,Fagaceae,,deciduous,broadleaved
Quercus crenata,Quercus,Fagaceae,Q15337558,evergreen,broadleaved
Quercus crispula,Quercus,Fagaceae,,deciduous,broadleaved
Quercus dalechampii,Quercus,Fagaceae,,deciduous,broadleaved
Quercus dentata,Quercus,Fagaceae,Q4112855,deciduous,broadleaved
Quercus douglasii,Quercus,Fagaceae,,deciduous,broadleaved
Quercus ellipsoidalis,Quercus,Fagaceae,,deciduous,broadleaved
Quercus faginea,Quercus,Fagaceae,,deciduous,broadleaved
Quercus falcata,Quercus,Fagaceae,,deciduous,broadleaved
Quercus fastigiata,Quercus,Fagaceae,Q165145,deciduous,broadleaved
Quercus frainetto,Quercus,Fagaceae,Q857075,deciduous,broadleaved
Quercus gambelii,Quercus,Fagaceae,,deciduous,broadleaved
Quercus garryana,Quercus,Fagaceae,,deciduous,broadleaved
Quercus gilva,Quercus,Fagaceae,,evergreen,broadleaved
Quercus glauca,Quercus,Fagaceae,,evergreen,broadleaved
Quercus humboldtii,Quercus,Fagaceae,,evergreen,broadleaved
Quercus humilis,Quercus,Fagaceae,Q161415,deciduous,broadleaved
Quercus ilex,Quercus,Fagaceae,Q218155,evergreen,broadleaved
Quercus ilicifolia,Quercus,Fagaceae,Q218155,evergreen,broadleaved
Quercus imbricaria,Quercus,Fagaceae,Q528713,deciduous,broadleaved
Quercus ithaburensis,Quercus,Fagaceae,,deciduous,broadleaved
Quercus kelloggii,Quercus,Fagaceae,,deciduous,broadleaved
Quercus laevis,Quercus,Fagaceae,,deciduous,broadleaved
Quercus libani,Quercus,Fagaceae,,deciduous,broadleaved
Quercus lobata,Quercus,Fagaceae,,deciduous,broadleaved
Quercus lusitanica,Quercus,Fagaceae,,deciduous,broadleaved
Quercus lyrata,Quercus,Fagaceae,,deciduous,broadleaved
Quercus macranthera,Quercus,Fagaceae,,deciduous,broadleaved
Quercus macrocarpa,Quercus,Fagaceae,Q1082365,deciduous,broadleaved
Quercus macrolepis,Quercus,Fagaceae,,deciduous,broadleaved
Quercus marilandica,Quercus,Fagaceae,,deciduous,broadleaved
Quercus michauxii,Quercus,Fagaceae,Q1460497,deciduous,broadleaved
Quercus mongolica,Quercus,Fagaceae,,deciduous,broadleaved
Quercus montana,Quercus,Fagaceae,,deciduous,broadleaved
Quercus muehlenbergii,Quercus,Fagaceae,Q2611816,deciduous,broadleaved
Quercus myrsinifolia,Quercus,Fagaceae,,evergreen,broadleaved
Quercus nigra,Quercus,Fagaceae,Q4112855,deciduous,broadleaved
Quercus pagoda,Quercus,Fagaceae,,deciduous,broadleaved
Quercus palustris,Quercus,Fagaceae,Q161253,deciduous,broadleaved
Quercus pedunculata,Quercus,Fagaceae,Q165145,deciduous,broadleaved
Quercus petraea,Quercus,Fagaceae,Q158608,deciduous,broadleaved
Quercus phellos,Quercus,Fagaceae,Q783224,deciduous,broadleaved
Quercus phillyreoides,Quercus,Fagaceae,,evergreen,broadleaved
Quercus polymorpha,Quercus,Fagaceae,,evergreen,broadleaved
Quercus pontica,Quercus,Fagaceae,,deciduous,broadleaved
Quercus prinus,Quercus,Fagaceae,Q1460497,deciduous,broadleaved
Quercus pubescens,Quercus,Fagaceae,Q161415,deciduous,broadleaved
Quercus pyrenaica,Quercus,Fagaceae,Q899686,deciduous,broadleaved
Quercus robur,Quercus,Fagaceae,Q165145,deciduous,broadleaved
Quercus rotundifolia,Quercus,Fagaceae,,evergreen,broadleaved
Quercus rubra,Quercus,Fagaceae,Q147525,deciduous,broadleaved
Quercus rysophylla,Quercus,Fagaceae,,evergreen,broadleaved
Quercus schochiana,Quercus,Fagaceae,,deciduous,broadleaved
Quercus serrata,Quercus,Fagaceae,,deciduous,broadleaved
Quercus shumardii,Quercus,Fagaceae,,deciduous,broadleaved
Quercus stellata,Quercus,Fagaceae,,deciduous,broadleaved
Quercus suber,Quercus,Fagaceae,Q156137,evergreen,broadleaved
Quercus texana,Quercus,Fagaceae,,deciduous,broadleaved
Quercus trojana,Quercus,Fagaceae,,deciduous,broadleaved
Quercus turneri,Quercus,Fagaceae,,deciduous,broadleaved
Quercus variabilis,Quercus,Fagaceae,Q192608,deciduous,broadleaved
Quercus velutina,Quercus,Fagaceae,Q1001011,deciduous,broadleaved
Quercus virgiliana,Quercus,Fagaceae,Q161415,deciduous,broadleaved
Quercus virginiana,Quercus,Fagaceae,Q1758722,evergreen,broadleaved
Quercus × bebbiana,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × bimundorum,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × cerrioides,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × heterophylla,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × hispanica,Quercus,Fagaceae,Q15337558,evergreen,broadleaved
Quercus × kewensis,Quercus,Fagaceae,,evergreen,broadleaved
Quercus × rosacea,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × schochiana,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × streimii,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × turneri,Quercus,Fagaceae,,deciduous,broadleaved
Quercus × warei,Quercus,Fagaceae,,deciduous,broadleaved
Quillaja saponaria,Quillaja,Quillajaceae,,evergreen,broadleaved
Ravenala madagascariensis,Ravenala,Strelitziaceae,,evergreen,broadleaved
Rhamnus alaternus,Rhamnus,Rhamnaceae,,evergreen,broadleaved
Rhamnus cathartica,Rhamnus,Rhamnaceae,Q147861,deciduous,broadleaved
Rhaphithamnus spinosus,Rhaphithamnus,Verbenaceae,,evergreen,broadleaved
Rhapis excelsa,Rhapis,Arecaceae,,deciduous,palm
Rhododendron arboreum,Rhododendron,Ericaceae,,evergreen,broadleaved
Rhododendron ferrugineum,Rhododendron,Ericaceae,,evergreen,broadleaved
Rhododendron indicum,Rhododendron,Ericaceae,,deciduous,broadleaved
Rhododendron japonoheptamerum,Rhododendron,Ericaceae,,evergreen,broadleaved
Rhododendron ponticum,Rhododendron,Ericaceae,,evergreen,broadleaved
Rhodoleia championii,Rhodoleia,Hamamelidaceae,,evergreen,broadleaved
Rhopalostylis sapida,Rhopalostylis,Arecaceae,,evergreen,palm
Rhus integrifolia,Rhus,Anacardiaceae,,evergreen,broadleaved
Rhus typhina,Rhus,Anacardiaceae,Q148986,deciduous,broadleaved
Ribes nigrum,Ribes,Grossulariaceae,,deciduous,broadleaved
Ribes rubrum,Ribes,Grossulariaceae,,deciduous,broadleaved
Ricinus communis,Ricinus,Euphorbiaceae,,evergreen,broadleaved
Robinia hispida,Robinia,Fabaceae,Q894236,deciduous,broadleaved
Robinia neomexicana,Robinia,Fabaceae,Q1635788,deciduous,broadleaved
Robinia pseudoacacia,Robinia,Fabaceae,Q157417,deciduous,broadleaved
Robinia umbraculifera,Robinia,Fabaceae,Q157417,deciduous,broadleaved
Robinia viscosa,Robinia,Fabaceae,Q159627,deciduous,broadleaved
Robinia × ambigua,Robinia,Fabaceae,Q3437174,deciduous,broadleaved
Robinia × holdtii,Robinia,Fabaceae,Q21370548,deciduous,broadleaved
Robinia × longiloba,Robinia,Fabaceae,Q21370549,deciduous,broadleaved
Robinia × margaretta,Robinia,Fabaceae,Q113251931,deciduous,broadleaved
Rosa canina,Rosa,Rosaceae,,deciduous,broadleaved
Rosmarinus officinalis,Rosmarinus,Lamiaceae,,evergreen,broadleaved
Roystonea elata,Roystonea,Arecaceae,Q1069046,evergreen,palm
Roystonea oleracea,Roystonea,Arecaceae,Q141233,evergreen,palm
Roystonea regia,Roystonea,Arecaceae,Q1069046,evergreen,palm
Ruscus aculeatus,Ruscus,Asparagaceae,,evergreen,broadleaved
Sabal domingensis,Sabal,Arecaceae,,deciduous,palm
Sabal mauritiiformis,Sabal,Arecaceae,,evergreen,palm
Sabal minor,Sabal,Arecaceae,,evergreen,palm
Sabal palmetto,Sabal,Arecaceae,Q1088471,evergreen,palm
Salix acutifolia,Salix,Salicaceae,,deciduous,broadleaved
Salix alba,Salix,Salicaceae,Q156918,deciduous,broadleaved
Salix appendiculata,Salix,Salicaceae,,deciduous,broadleaved
Salix atrocinerea,Salix,Salicaceae,Q3320649,deciduous,broadleaved
Salix aurita,Salix,Salicaceae,Q157519,deciduous,broadleaved
Salix babylonica,Salix,Salicaceae,Q156307,deciduous,broadleaved
Salix caprea,Salix,Salicaceae,Q159565,deciduous,broadleaved
Salix chilensis,Salix,Salicaceae,,deciduous,broadleaved
Salix cinerea,Salix,Salicaceae,Q157540,deciduous,broadleaved
Salix daphnoides,Salix,Salicaceae,,deciduous,broadleaved
Salix discolor,Salix,Salicaceae,,deciduous,broadleaved
Salix eleagnos,Salix,Salicaceae,,deciduous,broadleaved
Salix euxina,Salix,Salicaceae,Q18119933,deciduous,broadleaved
Salix fragilis,Salix,Salicaceae,Q157518,deciduous,broadleaved
Salix hultenii,Salix,Salicaceae,Q159565,deciduous,broadleaved
Salix humboldtiana,Salix,Salicaceae,,deciduous,broadleaved
Salix integra,Salix,Salicaceae,,deciduous,broadleaved
Salix laevigata,Salix,Salicaceae,,deciduous,broadleaved
Salix matsudana,Salix,Salicaceae,Q156307,deciduous,broadleaved
Salix nigra,Salix,Salicaceae,,evergreen,broadleaved
Salix pentandra,Salix,Salicaceae,Q158912,deciduous,broadleaved
Salix purpurea,Salix,Salicaceae,,deciduous,broadleaved
Salix rubens,Salix,Salicaceae,,deciduous,broadleaved
Salix sepulcralis,Salix,Salicaceae,Q10497720,deciduous,broadleaved
Salix silesiaca,Salix,Salicaceae,,deciduous,broadleaved
Salix tetrasperma,Salix,Salicaceae,,evergreen,broadleaved
Salix tortuosa,Salix,Salicaceae,Q157540,deciduous,broadleaved
Salix triandra,Salix,Salicaceae,,deciduous,broadleaved
Salix viminalis,Salix,Salicaceae,Q158590,deciduous,broadleaved
Salix × chrysocoma,Salix,Salicaceae,Q10497720,deciduous,broadleaved
Salix × fragilis,Salix,Salicaceae,,deciduous,broadleaved
Salix × pendulina,Salix,Salicaceae,Q10497720,deciduous,broadleaved
Salix × rubens,Salix,Salicaceae,,deciduous,broadleaved
Salix × sepulcralis,Salix,Salicaceae,Q10497720,deciduous,broadleaved
Salvia rosmarinus,Salvia,Lamiaceae,,evergreen,broadleaved
Samanea saman,Samanea,Fabaceae,,deciduous,broadleaved
Samanea tubulosa,Samanea,Fabaceae,,deciduous,broadleaved
Sambucus canadensis,Sambucus,Viburnaceae,Q21877280,deciduous,broadleaved
Sambucus nigra,Sambucus,Viburnaceae,Q22701,deciduous,broadleaved
Sambucus racemosa,Sambucus,Viburnaceae,,deciduous,broadleaved
Sapindus mukorossi,Sapindus,Sapindaceae,,deciduous,broadleaved
Sapindus rarak,Sapindus,Sapindaceae,,evergreen,broadleaved
Sapindus saponaria,Sapindus,Sapindaceae,,evergreen,broadleaved
Sarcomphalus joazeiro,Sarcomphalus,Rhamnaceae,,evergreen,broadleaved
Saribus rotundifolius,Saribus,Arecaceae,,deciduous,palm
Sassafras albidum,Sassafras,Lauraceae,,deciduous,broadleaved
Saxegothaea conspicua,Saxegothaea,Podocarpaceae,,evergreen,needleleaved
Scandosorbus intermedia,Scandosorbus,Rosaceae,Q139936592,deciduous,broadleaved
Schefflera actinophylla,Schefflera,Araliaceae,,evergreen,broadleaved
Schima wallichii,Schima,Theaceae,,evergreen,broadleaved
Schinus areira,Schinus,Anacardiaceae,,evergreen,broadleaved
Schinus molle,Schinus,Anacardiaceae,Q855896,evergreen,broadleaved
Schinus terebinthifolia,Schinus,Anacardiaceae,,evergreen,broadleaved
Schizolobium parahyba,Schizolobium,Fabaceae,,deciduous,broadleaved
Sciadopitys verticillata,Sciadopitys,Sciadopityaceae,,evergreen,needleleaved
Searsia lancea,Searsia,Anacardiaceae,,evergreen,broadleaved
Semiarundinaria fastuosa,Semiarundinaria,Poaceae,,deciduous,broadleaved
Senna candolleana,Senna,Fabaceae,,evergreen,broadleaved
Senna siamea,Senna,Fabaceae,,evergreen,broadleaved
Senna spectabilis,Senna,Fabaceae,,deciduous,broadleaved
Sequoia gigantea,Sequoia,Cupressaceae,Q149851,evergreen,needleleaved
Sequoia sempervirens,Sequoia,Cupressaceae,Q150129,evergreen,needleleaved
Sequoiadendron giganteum,Sequoiadendron,Cupressaceae,Q149851,evergreen,needleleaved
Sesbania punicea,Sesbania,Fabaceae,,deciduous,broadleaved
Shorea robusta,Shorea,Dipterocarpaceae,,deciduous,broadleaved
Socratea exorrhiza,Socratea,Arecaceae,,deciduous,palm
Solanum aviculare,Solanum,Solanaceae,,deciduous,broadleaved
Sophora cassioides,Sophora,Fabaceae,,evergreen,broadleaved
Sophora japonica,Sophora,Fabaceae,Q288558,deciduous,broadleaved
Sophora sinensis,Sophora,Fabaceae,Q288558,deciduous,broadleaved
Sophora tomentosa,Sophora,Fabaceae,Q3206158,deciduous,broadleaved
Sorbus alnifolia,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus americana,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus aria,Sorbus,Rosaceae,Q41068995,deciduous,broadleaved
Sorbus aucuparia,Sorbus,Rosaceae,Q146198,deciduous,broadleaved
Sorbus austriaca,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus commixta,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus cuspidata,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus decora,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus discolor,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus domestica,Sorbus,Rosaceae,Q18593737,deciduous,broadleaved
Sorbus hupehensis,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus hybrida,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus incana,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus intermedia,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus latifolia,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus mougeotii,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus scalaris,Sorbus,Rosaceae,Q1037204,deciduous,broadleaved
Sorbus thuringiaca,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus torminalis,Sorbus,Rosaceae,Q139936561,deciduous,broadleaved
Sorbus ulleungensis,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus vilmorinii,Sorbus,Rosaceae,Q1037212,deciduous,broadleaved
Sorbus × arnoldiana,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus × incana,Sorbus,Rosaceae,,deciduous,broadleaved
Sorbus × thuringiaca,Sorbus,Rosaceae,,deciduous,broadleaved
Spathodea campanulata,Spathodea,Bignoniaceae,,evergreen,broadleaved
Spondias dulcis,Spondias,Anacardiaceae,,deciduous,broadleaved
Spondias mombin,Spondias,Anacardiaceae,,deciduous,broadleaved
Spondias purpurea,Spondias,Anacardiaceae,,evergreen,broadleaved
Spondias tuberosa,Spondias,Anacardiaceae,,deciduous,broadleaved
Staphylea colchica,Staphylea,Staphyleaceae,,deciduous,broadleaved
Staphylea pinnata,Staphylea,Staphyleaceae,,deciduous,broadleaved
Stenocarpus sinuatus,Stenocarpus,Proteaceae,,deciduous,broadleaved
Stephanandra incisa,Stephanandra,Rosaceae,,deciduous,broadleaved
Sterculia apetala,Sterculia,Malvaceae,,deciduous,broadleaved
Sterculia foetida,Sterculia,Malvaceae,,evergreen,broadleaved
Sterculia platanifolia,Sterculia,Malvaceae,,deciduous,broadleaved
Sterculia striata,Sterculia,Malvaceae,,deciduous,broadleaved
Stewartia pseudocamellia,Stewartia,Theaceae,Q1041653,deciduous,broadleaved
Strelitzia nicolai,Strelitzia,Strelitziaceae,,deciduous,broadleaved
Styphnolobium japonicum,Styphnolobium,Fabaceae,Q288558,deciduous,broadleaved
Styrax americanus,Styrax,Styracaceae,Q6134685,deciduous,broadleaved
Styrax grandifolius,Styrax,Styracaceae,Q15312861,deciduous,broadleaved
Styrax japonicus,Styrax,Styracaceae,Q910419,deciduous,broadleaved
Styrax obassia,Styrax,Styracaceae,,deciduous,broadleaved
Styrax platanifolius,Styrax,Styracaceae,Q7629799,deciduous,broadleaved
Swartzia robiniifolia,Swartzia,Fabaceae,,evergreen,broadleaved
Swietenia macrophylla,Swietenia,Meliaceae,,deciduous,broadleaved
Swietenia mahagoni,Swietenia,Meliaceae,,deciduous,broadleaved
Swietenia mahogani,Swietenia,Meliaceae,,deciduous,broadleaved
Swinglea glutinosa,Swinglea,Rutaceae,,deciduous,broadleaved
Syagrus coronata,Syagrus,Arecaceae,,evergreen,palm
Syagrus oleracea,Syagrus,Arecaceae,,deciduous,palm
Syagrus romanzoffiana,Syagrus,Arecaceae,,evergreen,palm
