species,accepted_name,status,count
Maple Red,Acer rubrum,Name:en,1021
Maple Freeman,Acer × freemanii,Name:en,955
Autumn Blaze,Acer x freemanii 'Autumn Blaze',Typo,912
Maple Sugar,Acer saccharum,Name:en,713
Maple Crimson King,Acer platanoides 'Crimson King',Name:en,663
Sycamore American,Platanus occidentalis,Name:en,595
Maple - Crimson King,Acer platanoides 'Crimson King',Name:en,561
Pine Austrian,Pinus nigra,Name:en,540
ULMUS CARPINIFOLIA (SIN. ULMUS MINOR),Ulmus minor,Typo,507
Spruce White,Picea laxa,Name:en,497
Prunus unidentified species,,Genus sp.,436
Locust Honey Sunburst,Gleditsia triacanthos 'Sunburst',Name:en,431
Cassea Siamea,Senna siamea,Typo,425
Maple - Autumn Blaze,Acer x freemanii 'Autumn Blaze',Name:en,407
Spruce Colorado,Picea pungens,Name:en,406
Cedar Eastern White,Thuja occidentalis,Name:en,366
Maple - Hedge,Acer campestre,Name:en,345
QUERCUS RUBRA (SINONIM Q. BOREALIS),Quercus rubra,Typo,344
Ash Green,Fraxinus pennsylvanica,Name:en,327
Locust Honey Shademaster,Gleditsia triacanthos 'Shademaster',Name:en,283
Redbud Eastern,Cercis canadensis,Name:en,271
Prunus cesarus,Prunus cerasus,Typo,267
Maple Canadian Red,Acer rubrum,Name:en,244
Oak Bur,Quercus macrocarpa,Name:en,241
Pear Callery,Pyrus calleryana,Name:en,219
Oak Pin,Quercus palustris,Name:en,204
Maple Sycamore,Acer pseudoplatanus,Name:en,173
Oak English,Quercus robur,Name:en,170
"Elm, American",Ulmus americana,Name:en,167
Spruce Norway,Picea abies,Name:en,161
"Spruce, White",Picea laxa,Name:en,156
Pine White,Pinus strobus,Name:en,150
Elm American,Ulmus americana,Name:en,147
Maple Manitoba,Acer negundo,Name:en,145
Crataegus X lavallei,Crataegus × lavalleei,Typo,141
"Spruce, Colorado",Picea pungens,Name:en,141
Maple - Red,Acer rubrum,Name:en,139
SALIX MATSUDANA 'TORTUOSA',Salix matsudana 'Tortuosa',Typo,124
Mulberry White,Morus alba,Name:en,124
Lilac Japanese,Syringa reticulata,Name:en,123
#ÉRABLE ROUGE,Acer rubrum,Name:fr,119
Oak Swamp white,Quercus bicolor,Name:en,113
Oak - Red,Quercus rubra,Name:en,111
Platanus Platanor "Vallis Clausa",Platanus × hispanica 'Vallis Clausa',Typo,109
Beech European,Fagus sylvatica,Name:en,109
"Ash, Green",Fraxinus pennsylvanica,Name:en,108
Falsa acàcia,Robinia pseudoacacia,Typo,108
Locust Black,Robinia pseudoacacia,Name:en,107
Prunus Virginiana `Schubert`,Prunus virginiana 'Schubert',Typo,104


Fraxinus raywoodii,Fraxinus angustifolia 'Raywood',Typo,137
